somme	pHash	dHash	aHash	soya	marche
43	22	21	29	/soya/gallery/36.jpg	/soya_prix/imgs/zamatsle_0.img
43	22	21	29	/soya/gallery/37.jpg	/soya_prix/imgs/zamatsle_0.img
43	24	19	25	/soya2/sourcing/img_soya/enf_09_KIDS_PINK_2.png	/soya2/sourcing/img_mkt/confal_5.img
43	24	19	26	/soya2/sourcing/img_soya/enf_04_KIDSP1_1.png	/soya2/sourcing/img_mkt/jty_p6036_6.webp
43	24	19	26	/soya2/sourcing/img_soya/henf_03_KIDSP1_1.png	/soya2/sourcing/img_mkt/jty_p6036_6.webp
43	24	19	27	/soya2/sourcing/img_soya/enf_11_KIDS_PINK_7.png	/soya2/sourcing/img_mkt/jty_p6036_6.webp
43	24	19	27	/soya2/sourcing/img_soya/henf_04_KIDS_PINK_7.png	/soya2/sourcing/img_mkt/jty_p6036_6.webp
43	26	17	21	/soya/gallery/29.jpg	/soya2/sourcing/img_mkt/jty_p6036_4.webp
44	16	28	17	/soya2/sourcing/img_soya/v2_02_1-oreiller-soya-2_0_img3_5f834f33-5e47-49e1-a6a1-34e17f3341b	/soya_prix/imgs/zamatsle_0.img
44	20	24	15	/soya2/sourcing/img_soya/v2_02_1-oreiller-soya-2_0_img3_5f834f33-5e47-49e1-a6a1-34e17f3341b	/soya2/sourcing/img_mkt/jty_knee_2.webp
44	20	24	18	/soya2/sourcing/img_soya/v3_25_Soya_3.0_grey_2_2e59cacb-6ebc-4f36-8a81-44478c9d4589.png	/soya2/sourcing/img_mkt/comfy_3.img
44	20	24	20	/soya/gallery/35.jpg	/soya_prix/imgs/somnilys_2.img
44	20	24	32	/soya/gallery/10.jpg	/soya_prix/imgs/inphysio_2.img
44	20	24	35	/soya/gallery/06.jpg	/soya2/sourcing/img_mkt/jty_p6036_1.webp
44	20	24	35	/soya/gallery/18.jpg	/soya2/sourcing/img_mkt/jty_p6036_1.webp
44	20	24	35	/soya/gallery/22.jpg	/soya2/sourcing/img_mkt/jty_p6036_1.webp
44	20	24	35	/soya/gallery/28.jpg	/soya2/sourcing/img_mkt/jty_p6036_1.webp
44	22	22	33	/soya2/sourcing/img_soya/enf_13_KIDS_PINK_3.png	/soya2/sourcing/img_mkt/confal_2.img
44	22	22	33	/soya2/sourcing/img_soya/enf_13_KIDS_PINK_3.png	/soya_prix/imgs/confortalign_2.img
44	24	20	38	/soya2/sourcing/img_soya/henf_00_KIDS_P_1_2.png	/soya2/sourcing/img_mkt/jty_knee_3.webp
44	26	18	22	/soya/gallery/30.jpg	/soya2/sourcing/img_mkt/jty_p6036_5.webp
44	26	18	31	/soya2/sourcing/img_soya/enf_03_KIDSP1_5.png	/soya2/sourcing/img_mkt/mic_jty_5.webp
45	16	29	5	/soya/gallery/29.jpg	/soya_prix/imgs/zamatsle_1.img
45	18	27	5	/soya/gallery/29.jpg	/soya_prix/imgs/zamatsle_0.img
45	18	27	20	/soya/gallery/30.jpg	/soya2/sourcing/img_mkt/confal_2.img
45	18	27	20	/soya/gallery/30.jpg	/soya_prix/imgs/confortalign_2.img
45	18	27	38	/soya2/sourcing/img_soya/v2_08_11_bf88b3df-377c-4ddb-b78a-cc7a164e7755.png	/soya2/sourcing/img_mkt/jty_knee_1.webp
45	20	25	14	/soya2/sourcing/img_soya/voy_02_9-Oreiller-de-Voyage-Ergonomique-Soya_img3.webp	/soya2/sourcing/img_mkt/derila_2.img
45	20	25	19	/soya2/sourcing/img_soya/enf_18_KIDS_YELLOW_2.png	/soya2/sourcing/img_mkt/mic_jty_8.webp
45	20	25	19	/soya2/sourcing/img_soya/henf_05_KIDS_YELLOW_2.png	/soya2/sourcing/img_mkt/mic_jty_8.webp
45	22	23	14	/soya2/sourcing/img_soya/v3_12_2_782a3829-4b96-451b-93e4-630d8f06e705.png	/soya2/sourcing/img_mkt/jty_p6036_1.webp
45	22	23	23	/soya2/sourcing/img_soya/enf_09_KIDS_PINK_2.png	/soya_prix/imgs/somnilys_0.img
45	22	23	25	/soya/gallery/23.jpg	/soya_prix/imgs/inphysio_0.img
45	22	23	40	/soya2/sourcing/img_soya/enf_03_KIDSP1_5.png	/soya2/sourcing/img_mkt/jty_knee_5.webp
45	24	21	13	/soya/gallery/13.jpg	/soya2/sourcing/img_mkt/comfy_5.img
45	24	21	31	/soya2/sourcing/img_soya/enf_04_KIDSP1_1.png	/soya_prix/imgs/zamatsle_0.img
45	24	21	31	/soya2/sourcing/img_soya/henf_03_KIDSP1_1.png	/soya_prix/imgs/zamatsle_0.img
46	14	32	25	/soya2/sourcing/img_soya/v3_12_2_782a3829-4b96-451b-93e4-630d8f06e705.png	/soya_prix/imgs/zamatsle_3.img
46	16	30	23	/soya2/sourcing/img_soya/enf_16_KIDS_YELLOW_7.png	/soya2/sourcing/img_mkt/comfy_1.img
46	16	30	23	/soya2/sourcing/img_soya/enf_16_KIDS_YELLOW_7.png	/soya_prix/imgs/comfysle_1.img
46	18	28	9	/soya2/sourcing/img_soya/v3_25_Soya_3.0_grey_2_2e59cacb-6ebc-4f36-8a81-44478c9d4589.png	/soya2/sourcing/img_mkt/comfy_1.img
